Category,Merchant Name,Address,City
Restaurantes,EL GARAGE DE LA CHANCHITA,GENERAL FLORES 108,Providencia
Restaurantes,COMERCIAL ORIENTE MEDIO,SANTO DOMINGO 1066 LOCAL 21,Santiago
Restaurantes,RESTAURANT TUNG SONG,GUARDIA VIEJA 35,Providencia
Restaurantes,SNACK LIGHT,NUEVA PROVIDENCIA 2594 LOCAL 15,Providencia
Restaurantes,RESTAURANT PEZTORO,GUARDIA VIEJA 156,Providencia
Casinos,LA FUENTE,FERNANDEZ CONCHA 700,Las Condes
Casinos,SERVICIOS BI-GOURMET 6,EJERCITO LIBERTADOR 146,Santiago
Restaurantes,CAFE Y COCINA LA YOLA,CARMENCITA 272 LOCAL 2,Las Condes
Restaurantes,CLUB 107,GENERAL SALVO 107,Providencia
Restaurantes,TELESANDWICH,APOQUINDO 6451,Las Condes
Restaurantes,SUSHI NOBU,ROSAS 1294 LOC 6,Santiago
Restaurantes,ZAGO´S RESTOBAR,PROVIDENCIA 1981,Providencia
Restaurantes,SOLER,LOS MILITARES 5934 LOCAL E-F SUBSUELO,Las Condes
Restaurantes,MENTA Y MOKA,RANCAGUA 771,Providencia
Restaurantes,GET A WOK,LOS LEONES 22 LOCAL 4,Providencia
Restaurantes,SABOR A HOGAR,PROVIDENCIA 2216,Providencia
Casinos,ALITEO,MANUE ANTONIO MATTA 409 PISO 2,Santiago
Restaurantes,ALLFREE.CL,MARCHANT PEREIRA 367,Providencia
Restaurantes,DOBLEZETA,LAS TRANQUERAS 117 LOCAL COMERCIAL A-1,Las Condes
Restaurantes,LOS RICOS POBRES SPA,RICARDO CUMMING 132,Santiago
Restaurantes,MISKI WASI,VERGARA 41,Santiago
Patio de comida,LMN CERRO EL PLOMO,CERRO EL PLOMO 5680 LOCAL 205,Las Condes
Restaurantes,PASTELERIA MIRAFLORES,SAN ISIDRO 102,Santiago
Restaurantes,OTTO´S,BERNARDO OHIGGINS 2555,Santiago
